"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1928",5906.67,5594.48,5298.68,5018.44,4752.98,4501.54,4263.39,4037.82,3824.19,3621.86,3430.28,3247.63,3076.04,2913.55,2759.67,2613.93,2475.9,2345.18,2221.35,2104.04,1992.92,1887.68,1787.99,1693.58,1604.16,1519.47,1439.26,1363.3,1291.35,1218.3,1154.26,1093.58,1036.09,981.628,930.026,881.137,834.817,790.933,749.355,709.963,672.642,637.283,603.782,572.042,541.971,513.481,486.488,460.915,436.685,413.73,391.981,371.375,351.853,333.357,315.833,299.23,283.5,268.597,254.478,241.1,4345.36
"1929",5908.31,5596.17,5300.39,5020.14,4754.63,4503.13,4264.9,4039.25,3825.53,3623.12,3431.43,3249.92,3076.87,2914.31,2760.36,2614.57,2476.49,2345.73,2221.87,2104.55,1993.42,1888.14,1788.43,1693.99,1604.54,1519.82,1439.58,1363.59,1291.62,1223.46,1154.25,1093.57,1036.08,981.619,930.018,881.129,834.81,790.925,749.348,709.957,672.636,637.277,603.776,572.037,541.966,513.476,486.484,460.911,436.681,413.726,391.977,371.372,351.85,333.354,315.83,299.227,283.498,268.595,254.475,241.098,4345.32
"1930",5909.79,5597.72,5301.99,5021.75,4756.24,4504.69,4266.4,4040.69,3826.9,3624.4,3432.63,3251.02,3079.05,2915.1,2761.08,2615.23,2477.1,2346.29,2222.4,2105.06,1993.91,1888.61,1788.87,1694.4,1604.92,1520.18,1439.91,1363.89,1291.9,1223.71,1159.13,1093.56,1036.08,981.612,930.011,881.122,834.803,790.92,749.343,709.951,672.631,637.272,603.772,572.033,541.962,513.473,486.48,460.907,436.678,413.723,391.974,371.369,351.847,333.351,315.828,299.225,283.496,268.593,254.474,241.096,4345.28
"1931",5911.14,5599.13,5303.46,5023.27,4757.77,4506.21,4267.88,4042.11,3828.26,3625.69,3433.84,3252.15,3080.09,2917.16,2761.83,2615.92,2477.73,2346.87,2222.93,2105.55,1994.38,1889.07,1789.32,1694.82,1605.32,1520.55,1440.25,1364.21,1292.19,1223.98,1159.37,1098.19,1036.07,981.604,930.003,881.115,834.797,790.913,749.337,709.946,672.625,637.267,603.767,572.028,541.958,513.469,486.477,460.904,436.675,413.72,391.971,371.366,351.844,333.349,315.825,299.223,283.493,268.591,254.472,241.094,4345.25
"1932",5912.43,5600.41,5304.79,5024.66,4759.21,4507.66,4269.32,4043.51,3829.6,3626.99,3435.07,3253.3,3081.17,2918.15,2763.79,2616.62,2478.38,2347.47,2223.48,2106.06,1994.86,1889.53,1789.76,1695.24,1605.72,1520.92,1440.6,1364.53,1292.49,1224.25,1159.63,1098.42,1040.45,981.597,929.997,881.109,834.791,790.908,749.332,709.941,672.621,637.263,603.763,572.025,541.955,513.465,486.473,460.901,436.672,413.717,391.969,371.364,351.842,333.346,315.823,299.221,283.492,268.589,254.47,241.093,4345.22
"1933",5913.85,5601.63,5306,5025.93,4760.53,4509.02,4270.7,4044.88,3830.94,3628.27,3436.3,3254.47,3082.26,2919.17,2764.73,2618.49,2479.06,2348.09,2224.05,2106.59,1995.34,1889.98,1790.19,1695.66,1606.12,1521.3,1440.96,1364.87,1292.8,1224.54,1159.89,1098.66,1040.67,985.754,929.991,881.104,834.786,790.904,749.328,709.937,672.617,637.259,603.76,572.022,541.952,513.462,486.471,460.898,436.67,413.715,391.967,371.362,351.84,333.345,315.821,299.219,283.49,268.588,254.468,241.092,4345.2
"1934",5915.74,5602.97,5307.16,5027.08,4761.73,4510.27,4271.99,4046.18,3832.23,3629.52,3437.51,3255.63,3083.36,2920.2,2765.69,2619.37,2480.82,2348.72,2224.63,2107.12,1995.83,1890.43,1790.61,1696.07,1606.51,1521.68,1441.32,1365.2,1293.11,1224.83,1160.16,1098.91,1040.9,985.96,933.927,881.097,834.779,790.897,749.321,709.931,672.612,637.254,603.755,572.017,541.947,513.458,486.467,460.894,436.666,413.711,391.964,371.359,351.837,333.342,315.819,299.217,283.488,268.585,254.466,241.09,4345.16
"1935",5918.65,5604.76,5308.43,5028.17,4762.81,4511.4,4273.16,4047.38,3833.43,3630.7,3438.65,3256.72,3084.41,2921.2,2766.63,2620.25,2481.62,2350.35,2225.2,2107.64,1996.31,1890.88,1791.02,1696.45,1606.88,1522.03,1441.66,1365.52,1293.41,1225.11,1160.42,1099.15,1041.12,986.162,934.112,884.816,834.763,790.882,749.307,709.918,672.599,637.242,603.743,572.006,541.937,513.448,486.457,460.885,436.658,413.704,391.956,371.352,351.831,333.336,315.813,299.211,283.482,268.58,254.462,241.085,4345.08
"1936",5923.37,5607.52,5310.12,5029.36,4763.84,4512.41,4274.2,4048.42,3834.45,3631.7,3439.6,3257.64,3085.29,2922.05,2767.44,2621.02,2482.34,2351.02,2226.66,2108.1,1996.73,1891.26,1791.37,1696.77,1607.18,1522.32,1441.94,1365.79,1293.67,1225.35,1160.64,1099.35,1041.31,986.334,934.268,884.957,838.255,790.836,749.264,709.877,672.56,637.205,603.709,571.973,541.906,513.419,486.43,460.859,436.633,413.68,391.934,371.331,351.811,333.317,315.795,299.194,283.466,268.565,254.447,241.071,4344.83
"1937",5931.06,5611.99,5312.74,5030.97,4764.98,4513.4,4275.19,4049.48,3835.56,3632.83,3440.73,3258.73,3086.33,2923.05,2768.4,2621.92,2483.2,2351.82,2227.39,2109.58,1997.25,1891.74,1791.81,1697.18,1607.55,1522.67,1442.28,1366.12,1293.98,1225.64,1160.92,1099.61,1041.55,986.555,934.472,885.143,838.425,794.179,749.253,709.867,672.551,637.196,603.7,571.965,541.898,513.412,486.423,460.853,436.627,413.674,391.928,371.325,351.806,333.312,315.79,299.19,283.462,268.561,254.444,241.068,4344.77
"1938",5942.79,5619.28,5316.98,5033.46,4766.5,4514.48,4276.13,4050.42,3836.55,3633.86,3441.78,3259.77,3087.35,2924.02,2769.32,2622.81,2484.04,2352.61,2228.14,2110.26,1998.64,1892.22,1792.26,1697.59,1607.93,1523.02,1442.6,1366.43,1294.28,1225.93,1161.19,1099.87,1041.79,986.777,934.676,885.331,838.597,794.335,752.416,709.853,672.537,637.184,603.688,571.954,541.888,513.402,486.413,460.844,436.618,413.666,391.921,371.318,351.799,333.305,315.784,299.184,283.457,268.556,254.439,241.063,4344.69
