ParName   Value   Gradient
Fcast_recruitments(2010)            0            0
Fcast_recruitments(2011)            0            0
Fcast_recruitments(2012)            0            0
Fcast_recruitments(2013)            0            0
Fcast_recruitments(2014)            0            0
Fcast_recruitments(2015)            0            0
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
selparm[1]        36.57 2.65939e-005
selparm[3]      3.25063 -1.92119e-005
selparm[4]     0.656917 9.05322e-007
selparm[5]     -2.69414 -4.40263e-006
selparm[6]     0.990286 2.33726e-005
selparm[7]      31.0155 -9.01508e-006
selparm[8]      1.96928 -1.00776e-005
selparm[9]      0.77873 3.73481e-007
selparm[11]      23.1297  5.3592e-007
selparm[12]      9.46298  -1.335e-006
selparm[13]      20.3684 1.55144e-007
selparm[14]      5.45362 -1.73683e-006
selparm[15]      25.6482 7.55249e-007
selparm[16]      17.5005 -4.66358e-007
selparm[19]       3.5054 -1.02149e-006
selparm[20]      2.32252 1.40361e-006
selparm[21]   0.00324881 -3.90145e-007
